num,CVE_ESTADO,DES_ESTADO,CVE_DIAGNO,DES_DIAGNO,CVE_CIE10,ACUMULADO,MENORES_1,DE01_A_04,DE05_A_09,DE10_A_14,DE15_A_19,DE20_A_24,DE25_A_44,DE45_A_49,DE50_A_59,DE60_A_64,DE65_Y_MAS,SE_IGNORAN,SSA,IMSS_ORD,ISSSTE,OTRAS,IMSS_SOL,D_IF,PEMEX,SEDENA,SEDEMAR,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,PERIODO,MENORES_1F,DE01_A_04F,DE05_A_09F,DE10_A_14F,DE15_A_19F,DE20_A_24F,DE25_A_44F,DE45_A_49F,DE50_A_59F,DE60_A_64F,DE65_Y_MAF,SE_IGNORAF,TOTALM,TOTALF,SSAM,IMSS_ORDM,ISSSTEM,OTRASM,IMSS_SOLM,D_IFM,PEMEXM,SEDENAM,SEDEMARM,SSAF,IMSS_ORDF,ISSSTEF,OTRASF,IMSS_SOLF,D_IFF,PEMEXF,SEDENAF,SEDEMARF,ENEROM,FEBREROM,MARZOM,ABRILM,MAYOM,JUNIOM,JULIOM,AGOSTOM,SEPTIEMBRM,OCTUBREM,NOVIEMBREM,DICIEMBREM,ENEROF,FEBREROF,MARZOF,ABRILF,MAYOF,JUNIOF,JULIOF,AGOSTOF,SEPTIEMBRF,OCTUBREF,NOVIEMBREF,DICIEMBREF
1,1,Aguascalientes,1,Cólera,A00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,Aguascalientes,2,Amebiasis intestinal,"A06.0-A06.3, A06.9",5076,111,390,328,270,191,233,446,129,127,117,53,0,1311,1288,15,2408,0,2,0,52,0,363,288,368,308,462,549,466,581,412,567,457,255,2015,112,391,339,276,207,276,583,179,154,64,100,0,2395,2681,539,628,9,1185,0,1,0,33,0,772,660,6,1223,0,1,0,19,0,181,131,170,149,201,260,229,296,169,284,215,110,182,157,198,159,261,289,237,285,243,283,242,145
3,1,Aguascalientes,3,Absceso hepático amebiano,A06.4,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2015,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,1,Aguascalientes,4,Ascariasis,B77,100,0,15,9,7,2,2,6,1,1,0,0,0,74,8,0,18,0,0,0,0,0,6,14,9,10,5,11,8,11,11,7,5,3,2015,0,20,8,7,4,4,7,1,2,2,2,0,43,57,30,2,0,11,0,0,0,0,0,44,6,0,7,0,0,0,0,0,3,8,5,2,2,4,5,5,5,3,0,1,3,6,4,8,3,7,3,6,6,4,5,2
5,1,Aguascalientes,5,Shigelosis,A03,31,0,1,2,0,2,2,3,0,0,0,0,0,10,0,0,21,0,0,0,0,0,5,0,3,0,1,0,2,10,5,2,0,3,2015,1,6,4,1,1,1,6,0,1,0,0,0,10,21,4,0,0,6,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,2,0,0,0,2,3,1,1,0,1,5,0,1,0,1,0,0,7,4,1,0,2
6,1,Aguascalientes,6,Fiebre tifoidea,A01.0,352,0,2,5,13,21,23,43,10,6,5,1,0,109,0,0,243,0,0,0,0,0,33,23,32,16,28,48,38,35,21,22,34,22,2015,0,0,9,16,37,32,68,27,21,6,7,0,129,223,32,0,0,97,0,0,0,0,0,77,0,0,146,0,0,0,0,0,16,9,12,4,9,19,15,12,7,11,9,6,17,14,20,12,19,29,23,23,14,11,25,16
7,1,Aguascalientes,7,Giardiasis,A07.1,194,6,15,19,7,10,6,18,5,2,3,0,0,50,16,0,128,0,0,0,0,0,8,6,12,9,29,28,13,23,14,10,21,21,2015,0,18,23,11,12,8,9,16,3,0,3,0,91,103,22,9,0,60,0,0,0,0,0,28,7,0,68,0,0,0,0,0,5,1,7,5,13,10,7,8,7,7,12,9,3,5,5,4,16,18,6,15,7,3,9,12
8,1,Aguascalientes,8,Infecciones intestinales por otros organismos y las mal definidas,"A04, A08-A09 excepto A08.0",112742,3712,10093,6127,4619,3397,5556,12649,2802,2974,1213,2125,0,15057,54274,3197,40121,0,81,0,12,0,5980,6030,8553,7938,10215,14563,10899,15357,9284,7966,9870,6087,2015,3528,9337,5845,4200,3541,5177,13325,3303,4330,1669,3220,0,55267,57475,7104,25462,1288,21369,0,38,0,6,0,7953,28812,1909,18752,0,43,0,6,0,2856,2936,4192,3775,4940,7229,5335,7529,4599,3922,4987,2967,3124,3094,4361,4163,5275,7334,5564,7828,4685,4044,4883,3120
9,1,Aguascalientes,9,Intoxicación alimentaria bacteriana,A05,22,0,1,0,0,3,1,3,0,0,0,0,0,10,0,0,11,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,11,2015,0,0,2,0,3,5,3,1,0,0,0,0,8,14,2,0,0,5,0,0,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,6
10,1,Aguascalientes,10,Enterobiasis,B80,1876,0,4,6,6,15,146,315,318,116,9,7,0,15,4,0,1857,0,0,0,0,0,153,170,168,145,252,241,211,148,114,95,121,58,2015,1,9,7,0,37,274,351,213,27,10,5,0,942,934,7,2,0,933,0,0,0,0,0,8,2,0,924,0,0,0,0,0,70,89,82,80,124,126,111,77,56,43,60,24,83,81,86,65,128,115,100,71,58,52,61,34
11,1,Aguascalientes,100,Síndrome de rubéola congénita**,P35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,Aguascalientes,101,Infección por virus del papiloma humano,B97.7,127,0,0,0,0,1,13,6,0,0,0,0,0,123,2,1,1,0,0,0,0,0,2,103,6,0,3,5,1,3,0,2,1,1,2015,0,0,0,0,0,2,55,19,29,2,0,0,20,107,20,0,0,0,0,0,0,0,0,103,2,1,1,0,0,0,0,0,0,4,6,0,2,1,0,3,0,2,1,1,2,99,0,0,1,4,1,0,0,0,0,0
13,1,Aguascalientes,102,Leptospirosis,A27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,Aguascalientes,103,Triquinosis,B75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,Aguascalientes,104,Hepatitis vírica C,"B17.1, B18.2",6,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,2015,0,0,0,0,0,0,2,0,2,0,1,0,1,5,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0
16,1,Aguascalientes,105,Toxoplasmosis,B58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,Aguascalientes,106,Insuficiencia venosa periférica,I87.2,2533,0,0,0,6,3,14,166,88,110,51,144,0,483,1574,132,336,0,8,0,0,0,58,42,79,287,311,405,208,355,238,183,244,123,2015,0,0,2,5,22,67,647,359,412,151,286,0,582,1951,111,348,38,82,0,3,0,0,0,372,1226,94,254,0,5,0,0,0,19,15,16,66,67,91,38,80,47,46,58,39,39,27,63,221,244,314,170,275,191,137,186,84
